Id:ID,name,type,city,edition:INT,date,year:INT,month:INT,day:INT
8ba8e304-6f05-4ace-8a68-61b5ed47e1aa,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,8,2015-08-11,2015,8,11
f3cbc215-1f18-43e0-938d-379e1a09dd9d,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,9,2016-08-09,2016,8,9
ea5aed36-9a9e-4df0-86d2-303bb8c4c0d2,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,10,2017-08-28,2017,8,28
0f083979-bc97-42ee-9d39-d743ee0ad13b,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,11,2018-08-14,2018,8,14
fc07e6cb-eea7-46c2-9cdd-88d9b27b70a5,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,12,2019-08-08,2019,8,8
d5815406-c4e2-49c2-aab7-8582062b199c,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,13,2020-08-12,2020,8,12
c27f006f-6cf7-4d9f-b988-90774c4ec822,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,14,2021-08-24,2021,8,24
c6e84dd3-37e9-4b37-a9d3-77c994a82d8d,"Perkins, Aguilar and Fowler Workshop",Workshop,Kerrhaven,15,2022-08-14,2022,8,14
5662c4bf-ebb0-4206-a29d-3cc4e44a41ea,Browning-Davis Workshop,Workshop,Browntown,44,2015-09-17,2015,9,17
f921861f-5223-4114-952e-f9a1dbd292eb,Browning-Davis Workshop,Workshop,Browntown,45,2016-09-01,2016,9,1
5acb8bc2-7fbb-4c80-b6cf-018d94123fc1,Browning-Davis Workshop,Workshop,Browntown,46,2017-09-13,2017,9,13
9cd4a050-34fa-4677-9079-d9170830eb33,Browning-Davis Workshop,Workshop,Browntown,47,2018-09-05,2018,9,5
463c0c94-9a35-43d7-9c82-d5c541611e92,Browning-Davis Workshop,Workshop,Browntown,48,2019-09-07,2019,9,7
5361c642-9db3-4405-8b50-2cf178a2421f,Browning-Davis Workshop,Workshop,Browntown,49,2020-09-21,2020,9,21
e567632c-9b6b-47f2-b2d6-c64146561c08,Browning-Davis Workshop,Workshop,Browntown,50,2021-09-23,2021,9,23
